tech_id,chain,category,era,localized_name,description,prerequisite,direct_modifiers,unlocks,implementation_note,unlocks_named
tech_air_infrastructure_11,tech_air_infrastructure,production,11,Adaptive Airspace Management,"Airspace becomes a continuously managed network rather than a collection of fixed corridors. Autonomous routing systems negotiate separation, weather, wake turbulence, and airport capacity in real time, allowing vastly denser skies without sacrificing safety.",tech_air_infrastructure_10,state_trade_capacity_mult=0.05; state_infrastructure_from_aeroplanes_consumption_add=0.20,,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,—
tech_air_infrastructure_12,tech_air_infrastructure,production,12,Morphing-Wing Airliners,"Active structures alter wing shape throughout a flight, eliminating many of the compromises between takeoff, cruise, and landing. Civil aircraft become quieter, more efficient, and capable of operating economically across a much wider range of routes.",tech_air_infrastructure_11,state_trade_capacity_mult=0.05; state_infrastructure_from_aeroplanes_consumption_add=0.20,PM:pm_modern_aeroplanes_goods_manufacturing_1 | PM:pm_modern_air_design_infrastructure_1,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_aeroplanes_goods_manufacturing_1` — Morphing-Wing Airframes<br>PM `pm_modern_air_design_infrastructure_1` — Morphing-Wing Airliners
tech_air_infrastructure_13,tech_air_infrastructure,production,13,Stratospheric Transit Networks,"High-altitude aircraft and stratospheric transfer hubs create a new layer of transport above conventional aviation. Long-distance travel increasingly occurs where drag is thin, weather is distant, and continents are separated by hours rather than days.",tech_air_infrastructure_12,state_trade_capacity_mult=0.05; state_infrastructure_from_aeroplanes_consumption_add=0.20,,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,—
tech_air_infrastructure_14,tech_air_infrastructure,production,14,Autonomous Global Airlift,"Cargo fleets coordinate themselves from warehouse to runway to destination, dispatching aircraft around demand before shortages appear. Strategic airlift becomes a persistent logistics service rather than an emergency assembled after a crisis begins.",tech_air_infrastructure_13,state_trade_capacity_mult=0.05; state_infrastructure_from_aeroplanes_consumption_add=0.20,MOB:mobilization_option_modern_autonomous_strategic_airlift,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,Mobilization `mobilization_option_modern_autonomous_strategic_airlift` — Autonomous Strategic Airlift
tech_air_infrastructure_15,tech_air_infrastructure,production,15,Hypersonic Civil Aviation,Commercial vehicles sustain hypersonic flight without destroying their own structures or making every journey economically absurd. Intercontinental passenger and freight movement enters an age where the curvature of the Earth becomes part of routine route planning.,tech_air_infrastructure_14,state_trade_capacity_mult=0.05; state_infrastructure_from_aeroplanes_consumption_add=0.20,PM:pm_modern_aeroplanes_goods_manufacturing_2 | PM:pm_modern_air_design_infrastructure_2,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_aeroplanes_goods_manufacturing_2` — Hypersonic Civil Airframes<br>PM `pm_modern_air_design_infrastructure_2` — Hypersonic Airliners
tech_air_infrastructure_16,tech_air_infrastructure,production,16,Atmospheric Traffic Orchestration,"Machine traffic controllers coordinate millions of piloted, autonomous, cargo, passenger, and service aircraft as one atmospheric system. Airports cease to be isolated bottlenecks and become nodes in a planetary flow of vehicles and capacity.",tech_air_infrastructure_15,state_trade_capacity_mult=0.05; state_infrastructure_from_aeroplanes_consumption_add=0.20,,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,—
tech_air_infrastructure_17,tech_air_infrastructure,production,17,Orbital-Linked Aviation,"Aviation networks synchronize with orbital navigation, communications, and logistics infrastructure. Aircraft can hand cargo and passengers into near-space transport chains whose scheduling spans runway, stratosphere, and orbit as a single timetable.",tech_air_infrastructure_16,state_trade_capacity_mult=0.05; state_infrastructure_from_aeroplanes_consumption_add=0.20,,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,—
tech_air_infrastructure_18,tech_air_infrastructure,production,18,Suborbital Passenger Flight,Reusable suborbital craft turn brief excursions beyond the atmosphere into practical high-value transport. The fastest routes between distant cities rise above almost all of the air rather than trying to force their way through it.,tech_air_infrastructure_17,state_trade_capacity_mult=0.05; state_infrastructure_from_aeroplanes_consumption_add=0.20,PM:pm_modern_aeroplanes_goods_manufacturing_3 | PM:pm_modern_air_design_infrastructure_3,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_aeroplanes_goods_manufacturing_3` — Suborbital Transport Airframes<br>PM `pm_modern_air_design_infrastructure_3` — Suborbital Passenger Craft
tech_air_infrastructure_19,tech_air_infrastructure,production,19,Near-Space Logistics,"Near-space freighters occupy the boundary between aircraft and spacecraft, loitering at extreme altitude before descending where demand requires them. Logistics networks gain a new reserve of mobile capacity that is global rather than regional.",tech_air_infrastructure_18,state_trade_capacity_mult=0.05; state_infrastructure_from_aeroplanes_consumption_add=0.20,MOB:mobilization_option_modern_near_space_airlift,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,Mobilization `mobilization_option_modern_near_space_airlift` — Near-Space Airlift
tech_air_infrastructure_20,tech_air_infrastructure,production,20,Fusion-Electric Aerospace Transport,Compact fusion-electric power and mature aerospace materials support aircraft with extraordinary endurance and energy availability. Civil aerospace finally escapes the century-old dependence on burning immense masses of chemical fuel simply to remain aloft.,tech_air_infrastructure_19,state_trade_capacity_mult=0.05; state_infrastructure_from_aeroplanes_consumption_add=0.20,PM:pm_modern_aeroplanes_goods_manufacturing_4 | PM:pm_modern_air_design_infrastructure_4,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_aeroplanes_goods_manufacturing_4` — Fusion-Electric Aerospace Craft<br>PM `pm_modern_air_design_infrastructure_4` — Fusion-Electric Aerospace Liners
tech_chemicals_11,tech_chemicals,production,11,Molecular Consumer Materials,"Consumer materials are designed molecule by molecule for strength, texture, recyclability, and controlled degradation. Furniture, food processing, textiles, and packaging increasingly begin in chemical design suites before they ever reach a production line.",tech_chemicals_10,,PM:pm_modern_furniture_goods_manufacturing_2 | PM:pm_modern_groceries_goods_manufacturing_2 | PM:pm_modern_liquor_goods_manufacturing_1,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_furniture_goods_manufacturing_2` — Smart Composite Furniture<br>PM `pm_modern_groceries_goods_manufacturing_2` — Precision-Processed Foods<br>PM `pm_modern_liquor_goods_manufacturing_1` — Precision Fermentation
tech_chemicals_12,tech_chemicals,production,12,Metamaterial Fabrication,"Metamaterials obtain useful properties from engineered internal structure rather than chemical composition alone. Factories manufacture steels, ceramics, and composites whose response to stress, heat, radiation, and electromagnetic fields would once have appeared contradictory.",tech_chemicals_11,,PM:pm_modern_clothes_goods_manufacturing_2 | PM:pm_modern_steel_goods_manufacturing_3 | PM:pm_modern_pharmaceuticals_goods_manufacturing_2,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_clothes_goods_manufacturing_2` — Metamaterial Textiles<br>PM `pm_modern_steel_goods_manufacturing_3` — Metamaterial Steel<br>PM `pm_modern_pharmaceuticals_goods_manufacturing_2` — Regenerative Pharmaceuticals
tech_chemicals_13,tech_chemicals,production,13,Programmable Polymers,"Polymers can alter stiffness, permeability, conductivity, or shape in response to their environment. Plastics cease to be cheap inert substitutes and become active engineered materials used throughout infrastructure, electronics, medicine, and industry.",tech_chemicals_12,,PM:pm_modern_industrial_chemicals_goods_manufacturing_4 | PM:pm_modern_plastics_goods_manufacturing_2 | PM:pm_modern_rubber_goods_manufacturing_1,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_industrial_chemicals_goods_manufacturing_4` — Programmable Industrial Chemicals<br>PM `pm_modern_plastics_goods_manufacturing_2` — Programmable Polymers<br>PM `pm_modern_rubber_goods_manufacturing_1` — Advanced Synthetic Elastomers
tech_chemicals_14,tech_chemicals,production,14,Molecular Electronics Chemistry,"Chemical fabrication and electronics merge as circuits are deposited, grown, and assembled at molecular scales. Computing hardware increasingly depends on the chemistry of interfaces and self-organization rather than simply carving smaller features into silicon.",tech_chemicals_13,,PM:pm_modern_computers_goods_manufacturing_4 | PM:pm_modern_circuit_boards_goods_manufacturing_4,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_computers_goods_manufacturing_4` — Molecular Computers<br>PM `pm_modern_circuit_boards_goods_manufacturing_4` — Molecular Circuit Substrates
tech_chemicals_15,tech_chemicals,production,15,Regenerative Medicine,"Advanced pharmaceuticals do more than suppress symptoms: engineered cells, molecular machines, and regenerative compounds restore damaged tissue and rewrite pathological processes. Medicine becomes an industry of repair rather than a contest against inevitable decline.",tech_chemicals_14,state_mortality_mult=-0.05; state_pollution_reduction_health_mult=-0.10; state_standard_of_living_add=1,,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,—
